chr	start	stop	ancestry
1	16103	1170099	AFR
1	1170099	2047216	AFR
1	2047216	3356191	AFR
1	3356191	4941428	AFR
1	4941428	5842254	AFR
1	5842254	7429217	AFR
1	7429217	8439343	AFR
1	8439343	10754881	AFR
1	10754881	12054683	AFR
1	12054683	14309544	AFR
1	14309544	16053328	AFR
1	16053328	16392126	AFR
1	16392126	17549508	AFR
1	17549508	18724438	AFR
1	18724438	20230086	AFR
1	20230086	21006984	AFR
1	21006984	22411390	AFR
1	22411390	23588558	AFR
1	23588558	25541624	AFR
1	25541624	27632140	AFR
1	27632140	29690112	AFR
1	29690112	31038028	AFR
1	31038028	34103841	AFR
1	34103841	35646297	AFR
1	35646297	38094919	AFR
1	38094919	39084936	AFR
1	39084936	40853987	AFR
1	40853987	42414845	AFR
1	42414845	44617153	AFR
1	44617153	45826682	AFR
1	45826682	48719983	AFR
1	48719983	50559946	AFR
1	50559946	53384389	AFR
1	53384389	55947904	AFR
1	55947904	56556055	AFR
1	56556055	58399727	AFR
1	58399727	59022704	AFR
1	59022704	61203440	AFR
1	61203440	62918461	AFR
1	62918461	63990930	AFR
1	63990930	66790987	AFR
1	66790987	67644961	AFR
1	67644961	68693283	AFR
1	68693283	70905964	AFR
1	70905964	71262112	AFR
1	71262112	73242478	AFR
1	73242478	74650917	AFR
1	74650917	76798555	AFR
1	76798555	77562040	AFR
1	77562040	80412751	AFR
1	80412751	81024352	AFR
1	81024352	83004000	AFR
1	83004000	85476403	AFR
1	85476403	87338599	AFR
1	87338599	89601143	AFR
1	89601143	91745463	AFR
1	91745463	94097780	AFR
1	94097780	98099479	AFR
1	98099479	98959126	AFR
1	98959126	101384499	AFR
1	101384499	102190802	AFR
1	102190802	103548953	AFR
1	103548953	105886179	AFR
1	105886179	109703087	AFR
1	109703087	111484332	AFR
1	111484332	114332779	AFR
1	114332779	114806254	AFR
1	114806254	117238851	AFR
1	117238851	120098299	AFR
1	120098299	143190944	AFR
1	143190944	151566836	AFR
1	151566836	153363247	AFR
1	153363247	157303905	AFR
1	157303905	160499666	AFR
1	160499666	162014350	AFR
1	162014350	164478592	AFR
1	164478592	166490709	AFR
1	166490709	167495205	AFR
1	167495205	168091328	AFR
1	168091328	169554146	AFR
1	169554146	171254909	AFR
1	171254909	171889412	AFR
1	171889412	175121278	AFR
1	175121278	177781354	AFR
1	177781354	180258997	AFR
1	180258997	181572331	AFR
1	181572331	181893823	AFR
1	181893823	184626379	AFR
1	184626379	187630098	AFR
1	187630098	188791497	AFR
1	188791497	189690942	AFR
1	189690942	191433475	AFR
1	191433475	194032584	AFR
1	194032584	196028433	AFR
1	196028433	199271889	AFR
1	199271889	201102411	AFR
1	201102411	203373793	AFR
1	203373793	204106137	AFR
1	204106137	204755480	AFR
1	204755480	206144416	AFR
1	206144416	208462211	AFR
1	208462211	210618706	AFR
1	210618706	214114077	AFR
1	214114077	216045377	AFR
1	216045377	218169995	AFR
1	218169995	219897405	AFR
1	219897405	222800921	AFR
1	222800921	225832854	AFR
1	225832854	229237586	AFR
1	229237586	231184720	AFR
1	231184720	231955098	AFR
1	231955098	233635101	AFR
1	233635101	234262387	AFR
1	234262387	235613458	AFR
1	235613458	237288152	AFR
1	237288152	237909184	AFR
1	237909184	239166698	AFR
1	239166698	240684466	AFR
1	240684466	242256587	AFR
1	242256587	243947976	AFR
1	243947976	245197164	AFR
1	245197164	246976489	AFR
1	246976489	247902925	AFR
1	247902925	248945661	AFR
2	10560	1621349	AFR
2	1621349	3115266	AFR
2	3115266	4138976	AFR
2	4138976	4774361	AFR
2	4774361	5537037	AFR
2	5537037	6568182	AFR
2	6568182	7671073	AFR
2	7671073	9629392	AFR
2	9629392	10477899	AFR
2	10477899	10933000	AFR
2	10933000	12586417	AFR
2	12586417	13483574	AFR
2	13483574	15148721	AFR
2	15148721	15980384	AFR
2	15980384	17156109	AFR
2	17156109	19494023	AFR
2	19494023	20208177	AFR
2	20208177	23007863	AFR
2	23007863	24464430	AFR
2	24464430	26672117	AFR
2	26672117	28376898	AFR
2	28376898	29233204	AFR
2	29233204	30037377	AFR
2	30037377	30865398	AFR
2	30865398	33410050	AFR
2	33410050	34529433	AFR
2	34529433	35897880	AFR
