chr	start	stop	ancestry
1	120098299	143190944	AFR
2	87932777	94141328	AFR
3	90720182	94486907	AFR
4	49487762	54563281	AFR
5	44110778	51994301	AFR
6	56240240	60230066	AFR
7	57317522	62511825	AFR
8	42823041	46497165	AFR
9	42639706	69101139	AFR
10	37678928	42729485	AFR
11	46936192	54537580	AFR
12	32908242	38662936	AFR
16	31372784	46381872	AFR
17	20517135	29152649	AFR
18	14437172	24135791	AFR
19	22727007	27379061	AFR
20	25039639	33023102	AFR
1	118298518	151839334	EAS
2	88854232	98378510	EAS
3	90720182	94486924	EAS
4	45672729	51814962	EAS
5	43950430	51906595	EAS
6	56241636	60230066	EAS
7	58119590	62625264	EAS
8	42193396	48679103	EAS
9	38157205	64129460	EAS
10	38900024	41842070	EAS
11	45685808	54537719	EAS
12	31645248	37236646	EAS
14	16100330	22031631	EAS
16	29498299	46383730	EAS
17	21403289	32558547	EAS
18	15410468	24048375	EAS
19	22479904	28486087	EAS
20	25845240	32611591	EAS
1	119585475	148441356	EUR
2	87936212	98380522	EUR
3	89324448	93713703	EUR
4	49151183	53791570	EUR
5	42858112	52881116	EUR
6	56175027	60230066	EUR
7	57315276	63654184	EUR
8	41866032	45930525	EUR
9	43269938	69277370	EUR
10	37545448	41707258	EUR
11	46868162	54537872	EUR
12	32546655	37236646	EUR
16	33520050	46381684	EUR
17	21400685	32554656	EUR
18	15410468	22425453	EUR
19	23058970	28405898	EUR
20	22799227	31989284	EUR
1	118297876	147692258	SAS
2	87936212	94141285	SAS
3	90720182	93713711	SAS
4	49147880	53792291	SAS
5	43805495	50144673	SAS
6	56338611	60330166	SAS
7	57315276	65820738	SAS
8	41148428	45935368	SAS
9	38383196	64548831	SAS
10	37569221	41873243	SAS
11	46748724	54537813	SAS
12	30384887	37236646	SAS
16	29684925	46381684	SAS
17	20775586	26619210	SAS
18	15410468	24014494	SAS
19	24435304	28300165	SAS
20	25845240	33895671	SAS
